store_name,store_contact,full_address,full_long_lat,longitude,latitude
PIK Avenue Mall, 021 22570929,"PIK Avenue Mall Lt. 2 - Jl. Pantai Indah Kapuk Boulevard, Kamal Muara, Penjaringan, Jakarta, DKI Jakarta","106.73838380,-6.10923440",106.73838380,-6.10923440
AEON Mall BSD,021-29168087,"AEON Mall BSD Lt. GF - Jl. BSD Raya Utama, Sampora, Cisauk, Pagedangan, Tangerang, Banten","106.64351400,-6.30302030",106.64351400,-6.30302030
Malioboro Mall,0274-521067,"Malioboro Mall  Lt. UG Unit 28-29 - Jl. Malioboro No. 52 - 58, Suryatmajan, Danurejan, Yogyakarta, D.I. Yogyakarta","110.36373630,-7.79300750",110.36373630,-7.79300750
Pondok Indah Mall,021 7506782 / 021 7692351,"Pondok Indah Mall  Lt. II DII - 2 - Jl. Metro Pondok Indah Blok 3B, Kebayoran Lama, Jakarta Selatan, DKI Jakarta","106.78260940,-6.26535540",106.78260940,-6.26535540
Mall Ratu Indah,0411 834614 / 0411 834430,"Mall Ratu Indah  Lt.1 Unit 128-131 - Jl. dr. Sam Ratulangi no. 35, Mamajang Luar, Makassar, Sulawesi Selatan","119.41651330,-5.15323570",119.41651330,-5.15323570
Bali Collection,0361-778928 /  0361-77892,"Bali Collection  Blok 5  - Sogo Dept. Store Blok 5 Komplek BTDC Kawasan Pariwisata, Nusa Dua, Bali","115.22967330,-8.80140540",115.22967330,-8.80140540
Central Park,021 56985631 / 021 569856,"Central Park Lt. 2 Unit 124–127a  - Jl. Let. Jend. S. Parman I No.Kav.28, Tj. Duren Sel., Grogol petamburan, Jakarta Barat, DKI Jakarta","106.78897420,-6.17736720",106.78897420,-6.17736720
Pentacity ,,"Pentacity  Lt. 1 - Jl. Jenderal Sudirman No.47, Gunung Bahagia, Gn. Bahagia, Balikpapan Sel, Balikpapan, Kalimantan Timur","116.84304860,-1.27588010",116.84304860,-1.27588010
Summarecon Mall Serpong,021 5464551,"Summarecon Mall Serpong Lt. GF - Jl. Boulevard Gading Serpong, Sentra Gading Serpong, Pakulonan Barat, Kelapa Dua, Tangerang, Banten","106.62619680,-6.23893340",106.62619680,-6.23893340
Tunjungan Plaza 6,031 5472027,"Tunjungan Plaza 6 Lt. 2 - Tunjungan Plaza, 6, Jl. Basuki Rahmat No.107, Kedungdoro, Tegalsari, Surabaya, Jawa Timur","112.73833750,-7.26184200",112.73833750,-7.26184200
Bali Collection,0361-778928 /  0361-77892,"Bali Collection  Blok 5  - Sogo Dept. Store Blok 5 Komplek BTDC Kawasan Pariwisata, Nusa Dua, Bali","115.22967330,-8.80140540",115.22967330,-8.80140540
Mall Ratu Indah,0411 834614 / 0411 834430,"Mall Ratu Indah  Lt.1 Unit 128-131 - Jl. dr. Sam Ratulangi no. 35, Mamajang Luar, Makassar, Sulawesi Selatan","119.41651330,-5.15323570",119.41651330,-5.15323570
Pondok Indah Mall,021 7506782 / 021 7692351,"Pondok Indah Mall  Lt. II DII - 2 - Jl. Metro Pondok Indah Blok 3B, Kebayoran Lama, Jakarta Selatan, DKI Jakarta","106.78260940,-6.26535540",106.78260940,-6.26535540
Malioboro Mall,0274-521067,"Malioboro Mall  Lt. UG Unit 28-29 - Jl. Malioboro No. 52 - 58, Suryatmajan, Danurejan, Yogyakarta, D.I. Yogyakarta","110.36373630,-7.79300750",110.36373630,-7.79300750
AEON Mall BSD,021-29168087,"AEON Mall BSD Lt. GF - Jl. BSD Raya Utama, Sampora, Cisauk, Pagedangan, Tangerang, Banten","106.64351400,-6.30302030",106.64351400,-6.30302030
Istana Plaza,022 6000229 / 022 6000313,"Istana Plaza Lt. GF Unit B2-B3 - Jl. Pasir Kaliki No.121-123, Pamoyanan, Cicendo, Bandung, Jawa Barat","107.59655550,-6.90617980",107.59655550,-6.90617980
Lotte Shoping Avenue,021 29889201,"Lotte Shoping Avenue Lt. 2 - Jalan Professor Doktor Satrio No.3-5, Karet Kuningan, Jakarta Selatan, DKI Jakarta","106.82098930,-6.22496130",106.82098930,-6.22496130
Senayan City,021 72781416 / 021 727814,"Senayan City Lt. 3 - Jalan Asia Afrika Lot. 19, Gelora, Tanah Abang, Jakarta Pusat, DKI Jakarta","106.79559190,-6.22645120",106.79559190,-6.22645120
Paris Van Java,022 – 82063850 / 022 - 82,"Paris Van Java Lt. LG - Jl. Sukajadi No.131-139, Bandung, Jawa Barat","107.59381230,-6.88878470",107.59381230,-6.88878470
Kota Kasablanka,021 - 29465097 / 021 - 29,"Kota Kasablanka Lt. 1 Unit 161- 162-163 - Jl. Casablanca No. 88, Menteng Dalam, Tebet, Jakarta Selatan, DKI Jakarta","106.84140550,-6.22404110",106.84140550,-6.22404110
Trans Studio Bandung,022 - 91091132 / 022 - 91,"Trans Studio Bandung Lt. 2  - Jalan Jendral Gatot Subroto No. 289, Cibangkong, Batununggal, Bandung, Jawa Barat","107.63542710,-6.92569690",107.63542710,-6.92569690
Beachwalk Shopping Center,0361 8464857 / 0361 84648,"Beachwalk Shopping Center  Lt. 2 Unit A-12,14,15 - Beachwalk Shopping Center No.12, Jalan Pantai Kuta, Kuta, Bali","115.16809750,-8.71652620",115.16809750,-8.71652620
Trans Studio Makassar,0411-8117247 / 0411-81172,"Trans Studio Makassar Lt. GF Unit 51B-53A, 53B - Kawasan Terpadu Trans Studio Makassar, Jalan HM. Dg. Patompo, Metro Tanjung Bunga, Maccini Sombala, Makassar, Sulawesi Selatan","119.39228790,-5.15979400",119.39228790,-5.15979400
Mall Puri Indah,021-5822753,"Mall Puri Indah Lt. 1 Unit 143 - Jl. Puri Agung, Puri Indah, Kembangan Selatan, Jakarta Selatan, DKI Jakarta","106.73177830,-6.18794580",106.73177830,-6.18794580
Plaza Senayan,021 5725329,"Plaza Senayan Lt. 3  Unit 312A & 328A - Jl. Asia Afrika No.8, Jakarta  Pusat, DKI Jakarta","106.79886850,-6.22638680",106.79886850,-6.22638680
Plaza Medan Fair ,061-4140367,"Plaza Medan Fair  Lt.4, No: 68 & 91 - Jl. Gatot Subroto No: 30,  Plaza Medan Fair, Sei Sikambing D, Medan Petisah, Medan,  Sumatera Utara","98.66148130,3.59112540",98.66148130,3.59112540
Margo City Depok,021-78870991,"Margo City Depok Lt. 1 Unit 01-02 - Jl. Margonda Raya No.358, Kemiri Muka, Beji, Depok, Jawa Barat","106.83240600,-6.37277460",106.83240600,-6.37277460
Pacific Place,021 57973214 / 021 579732,"Pacific Place Lt. 2 Unit 2-15 - Jl. Jendral Sudirman No.52-53, RT.5/RW.3, Senayan, Kebayoran Baru, Jakarta Selatan, DKI Jakarta","106.80726940,-6.22458360",106.80726940,-6.22458360
Mall Taman Anggrek,021 5639712 / 021 5639495,"Mall Taman Anggrek Lt. 1 Unit D17 - D18 - Jl. Letjen S. Parman No.28, RT.9, Tomang, Grogol petamburan, Jakarta Barat, DKI Jakarta","106.78890980,-6.17627380",106.78890980,-6.17627380
